,Disease,Medication
144,Dimorphic hemorrhoids (piles),Thrombolytic drugs
145,Heart attack,Compression stockings
146,Heart attack,Exercise
147,Heart attack,Elevating the legs
148,Heart attack,Sclerotherapy
149,Heart attack,Laser treatments
150,Varicose veins,Levothyroxine
151,Varicose veins,Antithyroid medications
152,Varicose veins,Beta-blockers
153,Varicose veins,Radioactive iodine
154,Varicose veins,Thyroid surgery
155,Hypothyroidism,Antithyroid medications
156,Hypothyroidism,Radioactive iodine
157,Hypothyroidism,Thyroid surgery
158,Hypothyroidism,Beta-blockers
159,Hypothyroidism,Corticosteroids
160,Hyperthyroidism,Glucose tablets
161,Hyperthyroidism,Candy or juice
162,Hyperthyroidism,Glucagon injection
163,Hyperthyroidism,IV dextrose
164,Hyperthyroidism,Diazoxide
165,Hypoglycemia,Pain relievers
166,Hypoglycemia,Exercise
167,Hypoglycemia,Hot and cold packs
168,Hypoglycemia,Joint protection
169,Hypoglycemia,Physical therapy
170,Osteoarthritis,NSAIDs
171,Osteoarthritis,Disease-modifying antirheumatic drugs (DMARDs)
172,Osteoarthritis,Biologics
173,Osteoarthritis,Corticosteroids
174,Osteoarthritis,Joint replacement surgery
175,Arthritis,Vestibular rehabilitation
176,Arthritis,Canalith repositioning
177,Arthritis,Medications for nausea
178,Arthritis,Surgery
179,Arthritis,Home exercises
180,(vertigo) Paroxysmal Positional Vertigo,Topical treatments
181,(vertigo) Paroxysmal Positional Vertigo,Antibiotics
182,(vertigo) Paroxysmal Positional Vertigo,Oral medications
183,(vertigo) Paroxysmal Positional Vertigo,Hormonal treatments
184,(vertigo) Paroxysmal Positional Vertigo,Isotretinoin
185,Acne,Antibiotics
186,Acne,Pain relievers
187,Acne,Antihistamines
188,Acne,Corticosteroids
189,Acne,Topical treatments
190,Urinary tract infection,Antibiotics
191,Urinary tract infection,Urinary analgesics
192,Urinary tract infection,Phenazopyridine
193,Urinary tract infection,Antispasmodics
194,Urinary tract infection,Probiotics
195,Psoriasis,Topical treatments
196,Psoriasis,Phototherapy
197,Psoriasis,Systemic medications
198,Psoriasis,Biologics
199,Psoriasis,Coal tar
200,Impetigo,Topical antibiotics
201,Impetigo,Oral antibiotics
202,Impetigo,Antiseptics
203,Impetigo,Ointments
204,Impetigo,Warm compresses
